NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

aaa.lzu.edu.cn. 3600 IN A 202.201.0.175
NXDOMAIN for vpnt.lzu.edu.cnipv6.lzu.edu.cn

NXDOMAIN for mathteacher.lzu.edu.cnjlpt.lzu.edu.cn

NXDOMAIN for testmy.lzu.edu.cnmu.lzu.edu.cn

NXDOMAIN for rancher.lzu.edu.cnxuebao.lzu.edu.cn

NXDOMAIN for job.lzu.edu.cnztb.lzu.edu.cn

corsair.lzu.edu.cn. 3600 IN A 202.201.0.236

corsair.lzu.edu.cn. 3599 IN A 202.201.0.236

corsair.lzu.edu.cn. 3599 IN A 202.201.0.236

corsair.lzu.edu.cn. 3599 IN A 202.201.0.236

corsair.lzu.edu.cn. 3599 IN A 202.201.0.236

corsair.lzu.edu.cn. 3599 IN A 202.201.0.236

corsair.lzu.edu.cn. 3599 IN A 202.201.0.236

corsair.lzu.edu.cn. 3599 IN A 202.201.0.236

corsair.lzu.edu.cn. 3599 IN A 202.201.0.236

corsair.lzu.edu.cn. 3599 IN A 202.201.0.236

courses.lzu.edu.cn. 3600 IN A 210.26.112.198

cwc.lzu.edu.cn. 3600 IN CNAME xnzjcms.lzu.edu.cn.
xnzjcms.lzu.edu.cn. 7196 IN A 202.201.1.185

sc.cwc.lzu.edu.cn. 3600 IN A 202.201.0.243

sc.cwc.lzu.edu.cn. 3599 IN A 202.201.0.243

sc.cwc.lzu.edu.cn. 3599 IN A 202.201.0.243

sc.cwc.lzu.edu.cn. 3599 IN A 202.201.0.243

sc.cwc.lzu.edu.cn. 3599 IN A 202.201.0.243

sc.cwc.lzu.edu.cn. 3599 IN A 202.201.0.243

sc.cwc.lzu.edu.cn. 3599 IN A 202.201.0.243

sc.cwc.lzu.edu.cn. 3599 IN A 202.201.0.243

sc.cwc.lzu.edu.cn. 3599 IN A 202.201.0.243

sc.cwc.lzu.edu.cn. 3599 IN A 202.201.0.243

cwh.lzu.edu.cn. 7200 IN A 202.201.13.50

cwh.lzu.edu.cn. 7199 IN A 202.201.13.50

cwh.lzu.edu.cn. 7199 IN A 202.201.13.50

cwh.lzu.edu.cn. 7199 IN A 202.201.13.50

cwh.lzu.edu.cn. 7199 IN A 202.201.13.50

cwh.lzu.edu.cn. 7199 IN A 202.201.13.50

cwh.lzu.edu.cn. 7199 IN A 202.201.13.50

cwh.lzu.edu.cn. 7199 IN A 202.201.13.50

cwh.lzu.edu.cn. 7199 IN A 202.201.13.50

cwh.lzu.edu.cn. 7199 IN A 202.201.13.50

cxcy.lzu.edu.cn. 3600 IN A 202.201.1.112

cxcy.lzu.edu.cn. 3599 IN A 202.201.1.112

cxcy.lzu.edu.cn. 3599 IN A 202.201.1.112

cxcy.lzu.edu.cn. 3599 IN A 202.201.1.112

cxcy.lzu.edu.cn. 3599 IN A 202.201.1.112

cxcy.lzu.edu.cn. 3599 IN A 202.201.1.112

cxcy.lzu.edu.cn. 3599 IN A 202.201.1.112

cxcy.lzu.edu.cn. 3599 IN A 202.201.1.112

cxcy.lzu.edu.cn. 3599 IN A 202.201.1.112

cxcy.lzu.edu.cn. 3599 IN A 202.201.1.112

mail.cyc.lzu.edu.cn. 3600 IN A 202.201.3.112

mail.cyc.lzu.edu.cn. 3599 IN A 202.201.3.112

mail.cyc.lzu.edu.cn. 3599 IN A 202.201.3.112

mail.cyc.lzu.edu.cn. 3599 IN A 202.201.3.112

mail.cyc.lzu.edu.cn. 3599 IN A 202.201.3.112

mail.cyc.lzu.edu.cn. 3599 IN A 202.201.3.112

mail.cyc.lzu.edu.cn. 3599 IN A 202.201.3.112

mail.cyc.lzu.edu.cn. 3599 IN A 202.201.3.112

mail.cyc.lzu.edu.cn. 3599 IN A 202.201.3.112

mail.cyc.lzu.edu.cn. 3599 IN A 202.201.3.112

cycollege.lzu.edu.cn. 270 IN A 202.201.0.44

cycollege.lzu.edu.cn. 269 IN A 202.201.0.44

cycollege.lzu.edu.cn. 269 IN A 202.201.0.44

cycollege.lzu.edu.cn. 269 IN A 202.201.0.44

cykx.lzu.edu.cn. 3600 IN A 202.201.1.151

cykx.lzu.edu.cn. 3599 IN A 202.201.1.151

cykx.lzu.edu.cn. 3599 IN A 202.201.1.151

cykx.lzu.edu.cn. 3599 IN A 202.201.1.151

cykx.lzu.edu.cn. 3599 IN A 202.201.1.151

cykx.lzu.edu.cn. 3599 IN A 202.201.1.151

cykx.lzu.edu.cn. 3599 IN A 202.201.1.151

cykx.lzu.edu.cn. 3599 IN A 202.201.1.151

cykx.lzu.edu.cn. 3599 IN A 202.201.1.151

cykx.lzu.edu.cn. 3599 IN A 202.201.1.151

cyonline.lzu.edu.cn. 3600 IN A 202.201.1.35

cyonline.lzu.edu.cn. 3599 IN A 202.201.1.35

cyonline.lzu.edu.cn. 3599 IN A 202.201.1.35

cyonline.lzu.edu.cn. 3599 IN A 202.201.1.35

cyonline.lzu.edu.cn. 3599 IN A 202.201.1.35

cyonline.lzu.edu.cn. 3599 IN A 202.201.1.35

cyonline.lzu.edu.cn. 3599 IN A 202.201.1.35

cyonline.lzu.edu.cn. 3599 IN A 202.201.1.35

cyonline.lzu.edu.cn. 3599 IN A 202.201.1.35

cyonline.lzu.edu.cn. 3599 IN A 202.201.1.35

cyxb.lzu.edu.cn. 3600 IN A 202.201.1.249

cyxb.lzu.edu.cn. 3599 IN A 202.201.1.249

cyxb.lzu.edu.cn. 3599 IN A 202.201.1.249

cyxb.lzu.edu.cn. 3599 IN A 202.201.1.249

cyxb.lzu.edu.cn. 3599 IN A 202.201.1.249

cyxb.lzu.edu.cn. 3599 IN A 202.201.1.249

cyxb.lzu.edu.cn. 3599 IN A 202.201.1.249

cyxb.lzu.edu.cn. 3599 IN A 202.201.1.249

cyxb.lzu.edu.cn. 3599 IN A 202.201.1.249

cyxb.lzu.edu.cn. 3599 IN A 202.201.1.249

cyxb.lzu.edu.cn. 3599 IN A 202.201.1.249

dangxiao.lzu.edu.cn. 3600 IN CNAME xnzj1.lzu.edu.cn.
xnzj1.lzu.edu.cn. 267 IN A 202.201.1.184

data.lzu.edu.cn. 7200 IN A 202.201.13.185

data.lzu.edu.cn. 7199 IN A 202.201.13.185

data.lzu.edu.cn. 7199 IN A 202.201.13.185

data.lzu.edu.cn. 7199 IN A 202.201.13.185

data.lzu.edu.cn. 7199 IN A 202.201.13.185

data.lzu.edu.cn. 7199 IN A 202.201.13.185

data.lzu.edu.cn. 7199 IN A 202.201.13.185

data.lzu.edu.cn. 7199 IN A 202.201.13.185

data.lzu.edu.cn. 7199 IN A 202.201.13.185

data.lzu.edu.cn. 7199 IN A 202.201.13.185

datascience.lzu.edu.cn. 7200 IN CNAME xnzjcms.lzu.edu.cn.
xnzjcms.lzu.edu.cn. 7195 IN A 202.201.1.185

db.lzu.edu.cn. 3600 IN CNAME xnzjcms.lzu.edu.cn.
xnzjcms.lzu.edu.cn. 7195 IN A 202.201.1.185

dec.lzu.edu.cn. 268 IN A 211.144.154.102

dec.lzu.edu.cn. 267 IN A 211.144.154.102

dec.lzu.edu.cn. 267 IN A 211.144.154.102

dec.lzu.edu.cn. 267 IN A 211.144.154.102

dec.lzu.edu.cn. 267 IN A 211.144.154.102

dec.lzu.edu.cn. 267 IN A 211.144.154.102

dec.lzu.edu.cn. 267 IN A 211.144.154.102

dec.lzu.edu.cn. 267 IN A 211.144.154.102

dec.lzu.edu.cn. 267 IN A 211.144.154.102

dec.lzu.edu.cn. 267 IN A 211.144.154.102

dec.lzu.edu.cn. 267 IN A 211.144.154.102

dec.lzu.edu.cn. 267 IN A 211.144.154.102

banban.dec.lzu.edu.cn. 3600 IN A 211.144.154.103

banban.dec.lzu.edu.cn. 3599 IN A 211.144.154.103

banban.dec.lzu.edu.cn. 3599 IN A 211.144.154.103

banban.dec.lzu.edu.cn. 3599 IN A 211.144.154.103

banban.dec.lzu.edu.cn. 3599 IN A 211.144.154.103

banban.dec.lzu.edu.cn. 3599 IN A 211.144.154.103

banban.dec.lzu.edu.cn. 3599 IN A 211.144.154.103

banban.dec.lzu.edu.cn. 3599 IN A 211.144.154.103

banban.dec.lzu.edu.cn. 3599 IN A 211.144.154.103

banban.dec.lzu.edu.cn. 3599 IN A 211.144.154.103

cesm.dec.lzu.edu.cn. 1356 IN A 211.144.154.90

cesm.dec.lzu.edu.cn. 1355 IN A 211.144.154.90

cesm.dec.lzu.edu.cn. 1355 IN A 211.144.154.90

cesm.dec.lzu.edu.cn. 1355 IN A 211.144.154.90

cesm.dec.lzu.edu.cn. 1355 IN A 211.144.154.90

cesm.dec.lzu.edu.cn. 1355 IN A 211.144.154.90

cesm.dec.lzu.edu.cn. 1355 IN A 211.144.154.90

cesm.dec.lzu.edu.cn. 1355 IN A 211.144.154.90

cesm.dec.lzu.edu.cn. 1355 IN A 211.144.154.90

cesm.dec.lzu.edu.cn. 1355 IN A 211.144.154.90

cesm.dec.lzu.edu.cn. 1355 IN A 211.144.154.90

cesm.dec.lzu.edu.cn. 1355 IN A 211.144.154.90

NXDOMAIN for bb.lzu.edu.cn<BR>www.bb.lzu.edu.cnbanban.dec.lzu.edu.cn

m.dec.lzu.edu.cn. 3600 IN A 211.144.149.77

m.dec.lzu.edu.cn. 3599 IN A 211.144.149.77

m.dec.lzu.edu.cn. 3599 IN A 211.144.149.77

manage.dec.lzu.edu.cn. 124 IN A 211.144.154.103

manage.dec.lzu.edu.cn. 123 IN A 211.144.154.103

manage.dec.lzu.edu.cn. 123 IN A 211.144.154.103

manage.dec.lzu.edu.cn. 123 IN A 211.144.154.103

manage.dec.lzu.edu.cn. 123 IN A 211.144.154.103

manage.dec.lzu.edu.cn. 123 IN A 211.144.154.103

manage.dec.lzu.edu.cn. 123 IN A 211.144.154.103

manage.dec.lzu.edu.cn. 123 IN A 211.144.154.103

manage.dec.lzu.edu.cn. 123 IN A 211.144.154.103

manage.dec.lzu.edu.cn. 123 IN A 211.144.154.103

manage.dec.lzu.edu.cn. 123 IN A 211.144.154.103

manage.dec.lzu.edu.cn. 123 IN A 211.144.154.103

mooc.dec.lzu.edu.cn. 3600 IN A 211.144.154.102

mooc.dec.lzu.edu.cn. 3599 IN A 211.144.154.102

mooc.dec.lzu.edu.cn. 3599 IN A 211.144.154.102

mooc.dec.lzu.edu.cn. 3599 IN A 211.144.154.102

mooc.dec.lzu.edu.cn. 3599 IN A 211.144.154.102

mooc.dec.lzu.edu.cn. 3599 IN A 211.144.154.102

mooc.dec.lzu.edu.cn. 3599 IN A 211.144.154.102

mooc.dec.lzu.edu.cn. 3599 IN A 211.144.154.102

mooc.dec.lzu.edu.cn. 3599 IN A 211.144.154.102

mooc.dec.lzu.edu.cn. 3599 IN A 211.144.154.102

mooc.dec.lzu.edu.cn. 3599 IN A 211.144.154.102

mooc.dec.lzu.edu.cn. 3599 IN A 211.144.154.102

study.dec.lzu.edu.cn. 1439 IN A 211.144.141.47

study.dec.lzu.edu.cn. 1438 IN A 211.144.141.47

study.dec.lzu.edu.cn. 1438 IN A 211.144.141.47

study.dec.lzu.edu.cn. 1438 IN A 211.144.141.47

study.dec.lzu.edu.cn. 1438 IN A 211.144.141.47

study.dec.lzu.edu.cn. 1438 IN A 211.144.141.47

study.dec.lzu.edu.cn. 1438 IN A 211.144.141.47

study.dec.lzu.edu.cn. 1438 IN A 211.144.141.47

study.dec.lzu.edu.cn. 1438 IN A 211.144.141.47

study.dec.lzu.edu.cn. 1438 IN A 211.144.141.47

study.dec.lzu.edu.cn. 1438 IN A 211.144.141.47

study.dec.lzu.edu.cn. 1438 IN A 211.144.141.47

NXDOMAIN for www.dec.lzu.edu.cn

NXDOMAIN for www.dec.lzu.edu.cn

NXDOMAIN for www.dec.lzu.edu.cn

NXDOMAIN for www.dec.lzu.edu.cn

NXDOMAIN for www.dec.lzu.edu.cn

NXDOMAIN for www.dec.lzu.edu.cn

NXDOMAIN for www.dec.lzu.edu.cn

NXDOMAIN for www.dec.lzu.edu.cn

NXDOMAIN for www.dec.lzu.edu.cn

NXDOMAIN for www.dec.lzu.edu.cn

NXDOMAIN for www.dec.lzu.edu.cn

NXDOMAIN for www.dec.lzu.edu.cn

dhxyjs.lzu.edu.cn. 3600 IN A 202.201.1.67

dhxyjs.lzu.edu.cn. 3599 IN A 202.201.1.67

dhxyjs.lzu.edu.cn. 3599 IN A 202.201.1.67

dhxyjs.lzu.edu.cn. 3599 IN A 202.201.1.67

dhxyjs.lzu.edu.cn. 3599 IN A 202.201.1.67

dhxyjs.lzu.edu.cn. 3599 IN A 202.201.1.67

dhxyjs.lzu.edu.cn. 3599 IN A 202.201.1.67

dhxyjs.lzu.edu.cn. 3599 IN A 202.201.1.67

dhxyjs.lzu.edu.cn. 3599 IN A 202.201.1.67

dhxyjs.lzu.edu.cn. 3599 IN A 202.201.1.67

dslab.lzu.edu.cn. 3600 IN A 202.201.0.209

dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

mail.dslab.lzu.edu.cn. 3600 IN A 202.201.1.133

mail.dslab.lzu.edu.cn. 3599 IN A 202.201.1.133

mail.dslab.lzu.edu.cn. 3599 IN A 202.201.1.133

mail.dslab.lzu.edu.cn. 3599 IN A 202.201.1.133

mail.dslab.lzu.edu.cn. 3599 IN A 202.201.1.133

mail.dslab.lzu.edu.cn. 3599 IN A 202.201.1.133

mail.dslab.lzu.edu.cn. 3599 IN A 202.201.1.133

mail.dslab.lzu.edu.cn. 3599 IN A 202.201.1.133

mail.dslab.lzu.edu.cn. 3599 IN A 202.201.1.133

mail.dslab.lzu.edu.cn. 3599 IN A 202.201.1.133

random.dslab.lzu.edu.cn. 3600 IN A 202.201.1.52

random.dslab.lzu.edu.cn. 3599 IN A 202.201.1.52

random.dslab.lzu.edu.cn. 3599 IN A 202.201.1.52

random.dslab.lzu.edu.cn. 3599 IN A 202.201.1.52

random.dslab.lzu.edu.cn. 3599 IN A 202.201.1.52

random.dslab.lzu.edu.cn. 3599 IN A 202.201.1.52

random.dslab.lzu.edu.cn. 3599 IN A 202.201.1.52

random.dslab.lzu.edu.cn. 3599 IN A 202.201.1.52

random.dslab.lzu.edu.cn. 3599 IN A 202.201.1.52

random.dslab.lzu.edu.cn. 3599 IN A 202.201.1.52

sil4linux.dslab.lzu.edu.cn. 3600 IN A 202.201.0.218

sil4linux.dslab.lzu.edu.cn. 3599 IN A 202.201.0.218

sil4linux.dslab.lzu.edu.cn. 3599 IN A 202.201.0.218

sil4linux.dslab.lzu.edu.cn. 3599 IN A 202.201.0.218

sil4linux.dslab.lzu.edu.cn. 3599 IN A 202.201.0.218

sil4linux.dslab.lzu.edu.cn. 3599 IN A 202.201.0.218

sil4linux.dslab.lzu.edu.cn. 3599 IN A 202.201.0.218

sil4linux.dslab.lzu.edu.cn. 3599 IN A 202.201.0.218

sil4linux.dslab.lzu.edu.cn. 3599 IN A 202.201.0.218

sil4linux.dslab.lzu.edu.cn. 3599 IN A 202.201.0.218

sip.dslab.lzu.edu.cn. 3600 IN A 202.201.1.167

sip.dslab.lzu.edu.cn. 3599 IN A 202.201.1.167

sip.dslab.lzu.edu.cn. 3599 IN A 202.201.1.167

sip.dslab.lzu.edu.cn. 3599 IN A 202.201.1.167

sip.dslab.lzu.edu.cn. 3599 IN A 202.201.1.167

sip.dslab.lzu.edu.cn. 3599 IN A 202.201.1.167

sip.dslab.lzu.edu.cn. 3599 IN A 202.201.1.167

sip.dslab.lzu.edu.cn. 3599 IN A 202.201.1.167

sip.dslab.lzu.edu.cn. 3599 IN A 202.201.1.167

sip.dslab.lzu.edu.cn. 3599 IN A 202.201.1.167

xmertl.dslab.lzu.edu.cn. 3600 IN A 202.201.0.209

xmertl.dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

xmertl.dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

xmertl.dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

xmertl.dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

xmertl.dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

xmertl.dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

xmertl.dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

xmertl.dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

xmertl.dslab.lzu.edu.cn. 3599 IN A 202.201.0.209

dtxt.lzu.edu.cn. 3600 IN A 202.201.15.249

dtxt.lzu.edu.cn. 3599 IN A 202.201.15.249

dtxt.lzu.edu.cn. 3599 IN A 202.201.15.249

dtxt.lzu.edu.cn. 3599 IN A 202.201.15.249

dtxt.lzu.edu.cn. 3599 IN A 202.201.15.249

dtxt.lzu.edu.cn. 3599 IN A 202.201.15.249

dtxt.lzu.edu.cn. 3599 IN A 202.201.15.249

dtxt.lzu.edu.cn. 3599 IN A 202.201.15.249

dtxt.lzu.edu.cn. 3599 IN A 202.201.15.249

dtxt.lzu.edu.cn. 3599 IN A 202.201.15.249

dz.lzu.edu.cn. 3600 IN CNAME xnzj.lzu.edu.cn.
xnzj.lzu.edu.cn. 740 IN A 202.201.0.189

earth.lzu.edu.cn. 7200 IN A 202.201.13.172

earth.lzu.edu.cn. 7199 IN A 202.201.13.172

earth.lzu.edu.cn. 7199 IN A 202.201.13.172

earth.lzu.edu.cn. 7199 IN A 202.201.13.172

ebm.lzu.edu.cn. 3600 IN A 202.201.1.125

ebm.lzu.edu.cn. 3599 IN A 202.201.1.125

ebm.lzu.edu.cn. 3599 IN A 202.201.1.125

ebm.lzu.edu.cn. 3599 IN A 202.201.1.125

ebm.lzu.edu.cn. 3599 IN A 202.201.1.125

ebm.lzu.edu.cn. 3599 IN A 202.201.1.125

ebm.lzu.edu.cn. 3599 IN A 202.201.1.125

ebm.lzu.edu.cn. 3599 IN A 202.201.1.125

ebm.lzu.edu.cn. 3599 IN A 202.201.1.125

ebm.lzu.edu.cn. 3599 IN A 202.201.1.125

ebm.lzu.edu.cn. 3599 IN A 202.201.1.125

ecard.lzu.edu.cn. 60 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

ecard.lzu.edu.cn. 59 IN A 202.201.0.60

NXDOMAIN for usp.ecard.lzu.edu.cn

NXDOMAIN for usp.ecard.lzu.edu.cn

NXDOMAIN for usp.ecard.lzu.edu.cn

NXDOMAIN for usp.ecard.lzu.edu.cn

NXDOMAIN for usp.ecard.lzu.edu.cn

NXDOMAIN for usp.ecard.lzu.edu.cn

NXDOMAIN for usp.ecard.lzu.edu.cn

NXDOMAIN for usp.ecard.lzu.edu.cn

NXDOMAIN for usp.ecard.lzu.edu.cn

NXDOMAIN for usp.ecard.lzu.edu.cn

NXDOMAIN for usp.ecard.lzu.edu.cn

NXDOMAIN for usp.ecard.lzu.edu.cn

www.ecard.lzu.edu.cn. 60 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

www.ecard.lzu.edu.cn. 59 IN A 202.201.0.70

ecardapp.lzu.edu.cn. 3600 IN A 202.201.0.191

ecardapp.lzu.edu.cn. 3599 IN A 202.201.0.191

ecardapp.lzu.edu.cn. 3599 IN A 202.201.0.191

ecardapp.lzu.edu.cn. 3599 IN A 202.201.0.191

ecardapp.lzu.edu.cn. 3599 IN A 202.201.0.191

ecardapp.lzu.edu.cn. 3599 IN A 202.201.0.191

ecardapp.lzu.edu.cn. 3599 IN A 202.201.0.191

ecardapp.lzu.edu.cn. 3599 IN A 202.201.0.191

ecardapp.lzu.edu.cn. 3599 IN A 202.201.0.191

ecardapp.lzu.edu.cn. 3599 IN A 202.201.0.191

ecardsql.lzu.edu.cn. 3600 IN A 202.201.0.174

ecardsql.lzu.edu.cn. 3599 IN A 202.201.0.174

ecardsql.lzu.edu.cn. 3599 IN A 202.201.0.174

ecardsql.lzu.edu.cn. 3599 IN A 202.201.0.174

ecardsql.lzu.edu.cn. 3599 IN A 202.201.0.174

ecardsql.lzu.edu.cn. 3599 IN A 202.201.0.174

ecardsql.lzu.edu.cn. 3599 IN A 202.201.0.174

ecardsql.lzu.edu.cn. 3599 IN A 202.201.0.174

ecardsql.lzu.edu.cn. 3599 IN A 202.201.0.174

ecardsql.lzu.edu.cn. 3599 IN A 202.201.0.174

ecograss.lzu.edu.cn. 3600 IN A 202.201.1.43

ecograss.lzu.edu.cn. 3599 IN A 202.201.1.43

ecograss.lzu.edu.cn. 3599 IN A 202.201.1.43

ecograss.lzu.edu.cn. 3599 IN A 202.201.1.43

ecograss.lzu.edu.cn. 3599 IN A 202.201.1.43

ecograss.lzu.edu.cn. 3599 IN A 202.201.1.43

ecograss.lzu.edu.cn. 3599 IN A 202.201.1.43

ecograss.lzu.edu.cn. 3599 IN A 202.201.1.43

ecograss.lzu.edu.cn. 3599 IN A 202.201.1.43

ecograss.lzu.edu.cn. 3599 IN A 202.201.1.43

econ.lzu.edu.cn. 7200 IN A 202.201.13.172

econ.lzu.edu.cn. 7199 IN A 202.201.13.172

econ.lzu.edu.cn. 7199 IN A 202.201.13.172

econ.lzu.edu.cn. 7199 IN A 202.201.13.172

econ.lzu.edu.cn. 7199 IN A 202.201.13.172

econ.lzu.edu.cn. 7199 IN A 202.201.13.172

econ.lzu.edu.cn. 7199 IN A 202.201.13.172

econ.lzu.edu.cn. 7199 IN A 202.201.13.172

econ.lzu.edu.cn. 7199 IN A 202.201.13.172

econ.lzu.edu.cn. 7199 IN A 202.201.13.172

econ.lzu.edu.cn. 7199 IN A 202.201.13.172

emc.lzu.edu.cn. 7200 IN CNAME xnzj1.lzu.edu.cn.
xnzj1.lzu.edu.cn. 266 IN A 202.201.1.184

en.lzu.edu.cn. 266 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

en.lzu.edu.cn. 265 IN A 202.201.13.12

english.lzu.edu.cn. 7200 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

english.lzu.edu.cn. 7199 IN A 172.16.252.152

eos.lzu.edu.cn. 268 IN A 202.201.0.42

ercnat.lzu.edu.cn. 3900 IN CNAME xnzj1.lzu.edu.cn.
xnzj1.lzu.edu.cn. 29 IN A 202.201.1.184

etc.lzu.edu.cn. 3600 IN A 202.201.0.70

etc.lzu.edu.cn. 3599 IN A 202.201.0.70

etc.lzu.edu.cn. 3599 IN A 202.201.0.70

etc.lzu.edu.cn. 3599 IN A 202.201.0.70

etc.lzu.edu.cn. 3599 IN A 202.201.0.70

etc.lzu.edu.cn. 3599 IN A 202.201.0.70

etc.lzu.edu.cn. 3599 IN A 202.201.0.70

etc.lzu.edu.cn. 3599 IN A 202.201.0.70

etc.lzu.edu.cn. 3599 IN A 202.201.0.70

etc.lzu.edu.cn. 3599 IN A 202.201.0.70

eusp-test.lzu.edu.cn. 7200 IN A 202.201.13.83

faoffice.lzu.edu.cn. 7200 IN A 202.201.13.172

faoffice.lzu.edu.cn. 7199 IN A 202.201.13.172

faoffice.lzu.edu.cn. 7199 IN A 202.201.13.172

finance.lzu.edu.cn. 60 IN A 202.201.0.240

finance.lzu.edu.cn. 59 IN A 202.201.0.240

finance.lzu.edu.cn. 59 IN A 202.201.0.240

finance.lzu.edu.cn. 59 IN A 202.201.0.240

finance.lzu.edu.cn. 59 IN A 202.201.0.240

finance.lzu.edu.cn. 59 IN A 202.201.0.240

finance.lzu.edu.cn. 59 IN A 202.201.0.240

finance.lzu.edu.cn. 59 IN A 202.201.0.240

finance.lzu.edu.cn. 59 IN A 202.201.0.240

finance.lzu.edu.cn. 59 IN A 202.201.0.240

finance.lzu.edu.cn. 59 IN A 202.201.0.240

fsxx.lzu.edu.cn. 7200 IN CNAME xnzj1.lzu.edu.cn.
xnzj1.lzu.edu.cn. 265 IN A 202.201.1.184

fxdl.lzu.edu.cn. 7200 IN A 202.201.13.70

fxdl.lzu.edu.cn. 7199 IN A 202.201.13.70

fxdl.lzu.edu.cn. 7199 IN A 202.201.13.70

fxdl.lzu.edu.cn. 7199 IN A 202.201.13.70

fxdl.lzu.edu.cn. 7199 IN A 202.201.13.70

